slug,title,property_type,status,price,address_line,city_state,city,region,district,zone_type,payment_type,payment_terms,lat,lng,custom_fields
purok-1-davao-city,"Purok 1, Davao City",Land,published,1200000,"Purok 1, Tugbok District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Tugbok District,Residential,buy,BF; I; Cash,7.1492479,125.5027286,"{""internal_id"":""cmityliu6000guxa4ro9xtm8m"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""Marissa"",""links"":{""media"":"""",""title"":"""",""td"":"""",""sm"":""""},""lot"":{""lot_area_sqm"":606,""terrain"":""F""}}"
balintong-purok-3-davao-city,"Balintong, Purok 3, Davao City",Land,published,35000000,"Purok 3, Balintong, Calinan, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,,Residential,buy,BF; I; Cash,7.1772156,125.4814174,"{""internal_id"":""cmitys90f000huxa4607sj6xq"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""Pictures to follow - Joy Evans, Liezle Boa, Ruth Ramirez"",""links"":{""media"":""https://drive.google.com/drive/folders/1AL1YKCZMax9LatYp3uf81zJIZ67uM1U-?usp=drive_link"",""title"":"""",""td"":"""",""sm"":""""},""lot"":{""lot_area_sqm"":4000,""terrain"":""F""}}"
purok-4-davao-city,"Purok 4, Davao City",Land,published,212110000,"Purok 4, Bunawan District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Bunawan District,Commercial,buy,Cash,7.1644431,125.6400212,"{""internal_id"":""cmitz91nr000juxa4622ng34p"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/100qP9GwKJnrvwJIULeolOmEmMNc0bvm1?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/dvorealty/posts/8933778766653338/""},""lot"":{""lot_area_sqm"":21211,""terrain"":""F""}}"
gatungan-callawa-road-purok-4-davao-city-davao-del-norte,"Gatungan-Callawa Road, Purok 4, Davao City, Davao del Norte",Land,published,20000000,"Gatungan-Callawa Road, Purok 4, Bunawan District, Santa Cruz, Davao City, Davao del Norte, Davao Region, 8105, Philippines","Davao City, Davao del Norte","Davao City, Davao del Norte",Davao Region,"Bunawan District, Santa Cruz",Residential,buy,BF; I; Cash,7.2177987,125.5942283,"{""internal_id"":""cmitzbhcw000kuxa4mv8ojxn5"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/100qP9GwKJnrvwJIULeolOmEmMNc0bvm1?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/dvorealty/posts/8933778766653338/""},""lot"":{""lot_area_sqm"":19695,""terrain"":""F""}}"
indangan-ilang-road-purok-1-b-davao-city,"Indangan-Ilang Road, Purok 1-B, Davao City",Land,published,61300000,"Indangan-Ilang Road, Purok 1-B, Bunawan District, Mudiang, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,"Bunawan District, Mudiang",Commercial,buy,BF; I; Cash,7.1791135,125.6139729,"{""internal_id"":""cmitzlggb000muxa4wr7v7ida"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""clean"",""links"":{""media"":""https://drive.google.com/drive/folders/1rjacVIhy_KpiJFI0FebH7ykByKWVvZ8r?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/posts/1299090148091232/""},""lot"":{""lot_area_sqm"":17517,""terrain"":""F""}}"
valle-verde-avenue-valle-verde-davao-city,"Valle Verde Avenue, Valle Verde, Davao City",Land,published,2400000,"Valle Verde Avenue, Valle Verde, Bunawan District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Bunawan District,Residential,buy,BF,7.1485644,125.6556481,"{""internal_id"":""cmitzrrzy000nuxa4pftile87"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""2M net owner|no picture and map"",""links"":{""media"":""https://drive.google.com/drive/folders/19xcUGebXf8QfeFfCibjn5sKCpzVj4ruc?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/posts/1347442466589333/""},""lot"":{""lot_area_sqm"":120,""terrain"":""F""}}"
bilbao-street-valle-verde-davao-city,"Bilbao Street, Valle Verde, Davao City",Land,published,2400000,"Bilbao Street, Valle Verde, Bunawan District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Bunawan District,Residential,buy,BF,7.1487739,125.6558689,"{""internal_id"":""cmitzv77v000ouxa4bsh40d1c"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""2M net owner| pwede separate ang pagbaligya"",""links"":{""media"":""https://drive.google.com/drive/folders/19xcUGebXf8QfeFfCibjn5sKCpzVj4ruc?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/posts/1347442466589333/""},""lot"":{""lot_area_sqm"":120,""terrain"":""F""}}"
purok-5-davao-city,"Purok 5, Davao City",Land,published,3000000,"Purok 5, Communal, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,Cash,7.1534185,125.6237385,"{""internal_id"":""cmitzylif000puxa4m06ksuva"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/11tqBGqt3_8kwd6maKY9EqwqRbl-M8B7X?usp=drive_link"",""title"":"""",""td"":"""",""sm"":""""},""lot"":{""lot_area_sqm"":600,""terrain"":""F""}}"
purok-5-davao-city-2,"Purok 5, Davao City",Land,published,1000000,"Purok 5, Communal, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,Cash,7.1533169,125.6238567,"{""internal_id"":""cmiu010xs000quxa460y0fe4k"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""net no comm 3500/sqm"",""links"":{""media"":""https://drive.google.com/drive/folders/11tqBGqt3_8kwd6maKY9EqwqRbl-M8B7X?usp=drive_link"",""title"":"""",""td"":"""",""sm"":""""},""lot"":{""lot_area_sqm"":249,""terrain"":""F""}}"
barangay-36-d-s-artiaga-street-davao-city,"Barangay 36-D, S. Artiaga Street, Davao City",Land,published,25000000,"Chejenlou Dormitory, S. Artiaga Street, Barangay 36-D, Poblacion District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Poblacion District,Commercial,buy,BF; I; Cash,7.0665028,125.6130678,"{""internal_id"":""cmiu0j511000xuxa4nq2n1h45"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""w/ existing 3-Storey Old Bldg"",""links"":{""media"":""https://drive.google.com/drive/folders/1wSIua6HSDpBoRvV1d6j6oFJOTqocDQtI?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/posts/1284928769507370/""},""lot"":{""lot_area_sqm"":111,""terrain"":""F""}}"
barangay-34-d-walk-in-alley-davao-city,"Barangay 34-D, Walk-In Alley, Davao City",Land,published,25000000,"Walk-In Alley, Barangay 34-D, Poblacion District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Poblacion District,Commercial,buy,BF; I; Cash,7.0704515,125.6105824,"{""internal_id"":""cmiu0mnxr000yuxa4g8jk4cf3"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""w/ existing 1-Storey Store"",""links"":{""media"":""https://drive.google.com/drive/folders/1MX-a18zTThDe9tL1qBg8DhI4FhJVFBj3?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/1LMepxMCWhi2NM-SQeAIiUOAT9rzIj9et"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/620083160870310/posts/627467456798547/""},""lot"":{""lot_area_sqm"":342,""terrain"":""F""}}"
marfori-heights-turquoise-street-davao-city,"Marfori Heights, Turquoise Street, Davao City",Land,published,10800000,"Yogu, Turquoise Street, Marfori Heights, Barangay 9-A, Poblacion District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Poblacion District,Residential,buy,BF; I; Cash,7.0808212,125.6004386,"{""internal_id"":""cmiu0qbd2000zuxa4a3500dmx"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""w/ existing dilapidated concrete house"",""links"":{""media"":""https://drive.google.com/drive/folders/1nm1pnFR8g4edtEIBLInRz_fIM9RPrCiM?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/1fFUpFqS5710kzdDhe9MTtpShqSqvum7t"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/posts/1305682744098639/""},""lot"":{""lot_area_sqm"":300,""terrain"":""F""}}"
marfori-heights-topaz-street-davao-city,"Marfori Heights, Topaz Street, Davao City",Land,published,36000000,"B6 L22, Topaz Street, Marfori Heights, Barangay 9-A, Poblacion District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Poblacion District,Residential,buy,BF; I; Cash,7.081278,125.6012591,"{""internal_id"":""cmiu0sfix0010uxa4asrp5p3q"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""w/ income generating 3 -Storey Apartment"",""links"":{""media"":""https://drive.google.com/drive/folders/12qv3XmNULR2iuCa5z1RY-WObHTmJkHr6?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/620083160870310/posts/623880943823865/""},""lot"":{""lot_area_sqm"":450,""terrain"":""F""}}"
barangay-18-b-alzate-street-davao-city,"Barangay 18-B, Alzate Street, Davao City",Land,published,40000000,"Alzate Street, Barangay 18-B, Poblacion District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Poblacion District,Residential,buy,BF; I; Cash,7.084018,125.6137877,"{""internal_id"":""cmiu0uojq0011uxa49cvilh1k"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""w/ existing 2-Storey Lightweight House"",""links"":{""media"":""https://drive.google.com/drive/folders/18TnwxStoWyuAPkZ2WUGQxfScy9Xd7KIy?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/1TR_Zt9zot61xbzd0ItuUmmIj1O2_adYU"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/posts/1293651775301736/""},""lot"":{""lot_area_sqm"":320,""terrain"":""F""}}"
barangay-17-b-t-palma-gil-street-davao-city,"Barangay 17-B, T. Palma Gil Street, Davao City",Land,published,27500000,"T. Palma Gil Street, Barangay 17-B, Poblacion District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Poblacion District,Commercial,buy,BF; I; Cash,7.0846857,125.6177456,"{""internal_id"":""cmiu0xlpp0012uxa4m5phk3hw"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""w/ existing Old Bungalow House"",""links"":{""media"":""https://drive.google.com/drive/folders/11QORxl6eSu7jSRno7LRKHQqi1Dt1_d07?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/1Gg7cXMfFR/""},""lot"":{""lot_area_sqm"":320,""terrain"":""F""}}"
gravahan-kalye-pogi-davao-city,"Gravahan, Kalye Pogi, Davao City",Land,published,4000000,"Kalye Pogi, Gravahan, Ma-a, Talomo District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Talomo District,Commercial,buy,BF; I; Cash,7.0647104,125.5992593,"{""internal_id"":""cmiu103d30013uxa4909yj4eo"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""Open Lot"",""links"":{""media"":""https://drive.google.com/drive/folders/1WUuoKYMllTtlE0-N7dFlWnPO_CfwXDvD?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/1TvEIzYiDONfhykBw7sl2VxE8Si-Y60ah"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/620083160870310/posts/623865800492046/""},""lot"":{""lot_area_sqm"":96,""terrain"":""F""}}"
barangay-32-d-m-roxas-avenue-davao-city,"Barangay 32-D, M. Roxas Avenue, Davao City",Land,published,27000000,"M. Roxas Avenue, Barangay 32-D, Poblacion District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Poblacion District,Commercial,buy,BF; I; Cash,7.0678336,125.6158196,"{""internal_id"":""cmiu12sfv0014uxa4x2xgo151"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""w/ existing dilapidated light material house"",""links"":{""media"":""https://drive.google.com/drive/folders/1hm2Rh-ZYeAslWnNogxdhvMZCcr2zTn4O?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/1q1yqRrUpppFPNlIER5HRNP53ITPHLlZ5"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/620083160870310/posts/648905537988072/""},""lot"":{""lot_area_sqm"":239,""terrain"":""F""}}"
barangay-37-d-m-l-quezon-boulevard-davao-city,"Barangay 37-D, M. L. Quezon Boulevard, Davao City",Land,published,15000000,"M. L. Quezon Boulevard, Barangay 37-D, Poblacion District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Poblacion District,Commercial,buy,BF; I; Cash,7.0654823,125.6153703,"{""internal_id"":""cmiu15iwh0015uxa42lrbje92"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""2 Storey Commercial Building"",""links"":{""media"":""https://drive.google.com/drive/folders/1oZ4I6BrUcTrpBneotTAjpehqr81btV7H?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/620083160870310/posts/639687422243217/""},""lot"":{""lot_area_sqm"":74,""terrain"":""F""}}"
barangay-37-d-m-l-quezon-boulevard-davao-city-2,"Barangay 37-D, M. L. Quezon Boulevard, Davao City",Land,published,25000000,"M. L. Quezon Boulevard, Barangay 37-D, Poblacion District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Poblacion District,Commercial,buy,BF; I; Cash,7.065433,125.6153104,"{""internal_id"":""cmiu17vrg0016uxa4ti0trblc"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""3 Storey Commercial Building "",""links"":{""media"":""https://drive.google.com/drive/folders/17NFomdLkUCCZ29X1Qizn1xx6cHjgJD-o?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/620083160870310/posts/639693182242641/""},""lot"":{""lot_area_sqm"":73,""terrain"":""F""}}"
santo-rosario-palm-drive-sandawa-village-2-davao-city,"Santo Rosario, Palm Drive, Sandawa Village 2, Davao City",Land,published,166320000,"Landbank, Palm Drive, Sandawa Village 2, Santo Rosario, Buhangin, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Commercial,buy,BF; I; Cash,7.0983331,125.6172015,"{""internal_id"":""cmiu1b5we0017uxa4cm8e6w5x"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""Corner Lot"",""links"":{""media"":""https://drive.google.com/drive/folders/1FKOoJwUBgbjQl42Vwcz2ZE0XvPjgi0zh?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/17Tj8yPrlyRXVuCszvszchGdwGWxhaP3w"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/16sqcbCtpY/""},""lot"":{""lot_area_sqm"":2079,""terrain"":""F""}}"
barangay-10-a-alley-1046-purok-1-davao-city,"Barangay 10-A, Alley 1046, Purok 1, Davao City",Land,published,25000000,"Independent Baptist Churches in the Philippines Inc., 739-3b, Alley 1046, Purok 1, Barangay 10-A, Poblacion District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Poblacion District,Residential,buy,BF; I; Cash,7.0768724,125.6073434,"{""internal_id"":""cmiu1cryz0018uxa451eris9j"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1Nfz7JNn-9ZxalWtTsrWLAZFcSE1_qZXK?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/620083160870310/posts/721054714106487/""},""lot"":{""lot_area_sqm"":485,""terrain"":""F""}}"
quimpo-boulevard-robillo-compound-davao-city,"Quimpo Boulevard, Robillo Compound, Davao City",Land,published,150000000,"SouthPort Auto Center, Quimpo Boulevard, Robillo Compound, 76-A Bucana, Talomo District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Talomo District,Commercial,buy,BF; I; Cash,7.0558869,125.6003107,"{""internal_id"":""cmiu1g0j70019uxa4ptvmx4is"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1eA4rrxo5l2CC4SRU9sedPNAoT0CHKEjh?usp=drive_link"",""title"":"""",""td"":"""",""sm"":""""},""lot"":{""lot_area_sqm"":1000,""terrain"":""F""}}"
barangay-30-c-governor-chavez-street-davao-city,"Barangay 30-C, Governor Chavez Street, Davao City",Land,published,15000000,"Governor Chavez Street, Barangay 30-C, Poblacion District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Poblacion District,Commercial,buy,BF; I; Cash,7.0747355,125.6175385,"{""internal_id"":""cmiu1hidz001auxa4wv3974xr"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1TzZQeLdcsF2gUqzrZaPK5ASzq_AAwGv2?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/1WYrcht1Bw0bAVff9ZWQf0JdFJPle3hN-?usp=drive_link"",""td"":"""",""sm"":""""},""lot"":{""lot_area_sqm"":75,""terrain"":""F""}}"
gladiola-street-northcrest-davao-city,"Gladiola Street, Northcrest, Davao City",Land,published,7500000,"Gladiola Street, Northcrest, Cabantian, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,Cash,7.1293047,125.6096479,"{""internal_id"":""cmiu5wx4q001buxa4uxknd7ik"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/115i8JRFXFlU4xDtmQ1MzhFa7pUupxB-b?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/posts/1261175791882668/""},""lot"":{""lot_area_sqm"":250,""terrain"":""F""}}"
camomile-street-northcrest-davao-city,"Camomile Street, Northcrest, Davao City",Land,published,9000000,"Camomile Street, Northcrest, Tigatto, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,Cash,7.129674,125.6064646,"{""internal_id"":""cmiu5yvwt001cuxa4tvbxwxt5"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1dL6xLWktYJ5lQvk-y3s4cW1g5_CKgA6G?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/16hGJL7fad/""},""lot"":{""lot_area_sqm"":300,""terrain"":""F""}}"
magnolia-street-northcrest-davao-city,"Magnolia Street, Northcrest, Davao City",Land,published,7015000,"Magnolia Street, Northcrest, Cabantian, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,BF,7.1305213,125.6098304,"{""internal_id"":""cmiu60wex001duxa4xmog8cs9"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""25,000 net na ni seller without comm"",""links"":{""media"":""https://drive.google.com/drive/folders/1F0Yjhp6w7iN2IVTYz7GWtNFRyRncEsXG?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/18mfE6Nkr6/""},""lot"":{""lot_area_sqm"":305,""terrain"":""F""}}"
bass-wood-street-northcrest-davao-city,"Bass Wood Street, Northcrest, Davao City",Land,published,13216000,"Bass Wood Street, Northcrest, Cabantian, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,BF; I; Cash,7.1207984,125.6118872,"{""internal_id"":""cmiu66wxd001euxa48ib9gzju"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1B-xvWbllRi0TY3o_DIEjLkOSqdJRbn1N?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/1XacMKzZTi/""},""lot"":{""lot_area_sqm"":413,""terrain"":""F""}}"
bass-wood-street-northcrest-davao-city-2,"Bass Wood Street, Northcrest, Davao City",Land,published,14980000,"Bass Wood Street, Northcrest, Cabantian, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,BF; I; Cash,7.1213142,125.6121174,"{""internal_id"":""cmiu6991c001fuxa4hxoegmb6"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1-8liRX9bg9ZNOfCYqsNKmdNbxGUnqPBt?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/193QZKK4kJ/""},""lot"":{""lot_area_sqm"":428,""terrain"":""F""}}"
rose-street-northcrest-davao-city,"Rose Street, Northcrest, Davao City",Land,published,3300000,"Rose Street, Northcrest, Tigatto, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,I; Cash,7.129088,125.6065257,"{""internal_id"":""cmiu6bfs3001guxa47k8elikb"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""OTHER REALTY"",""links"":{""media"":""https://drive.google.com/drive/folders/1SW7NnqRftZp3Cgt4-hd-ijMecj8uXR9w?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/1F1kXYBkGs/""},""lot"":{""lot_area_sqm"":150,""terrain"":""F""}}"
rose-street-northcrest-davao-city-2,"Rose Street, Northcrest, Davao City",Land,published,4008000,"Rose Street, Northcrest, Tigatto, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,I; Cash,7.1290705,125.6064468,"{""internal_id"":""cmiu6dsn5001huxa4yqz6od3n"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""OTHER REALTY"",""links"":{""media"":""https://drive.google.com/drive/folders/1SW7NnqRftZp3Cgt4-hd-ijMecj8uXR9w?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/19NWhLSbRx/""},""lot"":{""lot_area_sqm"":167,""terrain"":""F""}}"
northtown-drive-northtown-davao-city,"Northtown Drive, Northtown, Davao City",Land,published,21546000,"Northtown Drive, Northtown, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,BF,7.1391666,125.5971034,"{""internal_id"":""cmiu6glva001iuxa4hvyrj61k"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""net ni seller is 20M"",""links"":{""media"":""https://drive.google.com/drive/folders/187wsNcya9-pJD-pPeG668pJ8Fa5M2HnL?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/1aRMPyRv4C/""},""lot"":{""lot_area_sqm"":567,""terrain"":""F""}}"
dao-street-narra-park-davao-city,"Dao Street, Narra Park, Davao City",Land,published,3456000,"Dao Street, Narra Park, Tigatto, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,Cash,7.126663,125.5904874,"{""internal_id"":""cmiu6ia47001juxa4mtk8prxs"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1-c3Nw4h__ghMBZNLNoHkuhJIngcyWXJi?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/search/?q=narra""},""lot"":{""lot_area_sqm"":192,""terrain"":""F""}}"
durian-street-narra-park-davao-city,"Durian Street, Narra Park, Davao City",Land,published,2275000,"Durian Street, Narra Park, Tigatto, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,Cash,7.1259224,125.5911725,"{""internal_id"":""cmiu6kkfk001kuxa4nn3us7sd"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1-c3Nw4h__ghMBZNLNoHkuhJIngcyWXJi?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/search/?q=narra""},""lot"":{""lot_area_sqm"":130,""terrain"":""F""}}"
durian-street-narra-park-davao-city-2,"Durian Street, Narra Park, Davao City",Land,published,2275000,"Durian Street, Narra Park, Tigatto, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,Cash,7.1259978,125.5910812,"{""internal_id"":""cmiu6mlcc001luxa4mkz880tg"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1-c3Nw4h__ghMBZNLNoHkuhJIngcyWXJi?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/search/?q=narra""},""lot"":{""lot_area_sqm"":130,""terrain"":""F""}}"
durian-street-narra-park-davao-city-3,"Durian Street, Narra Park, Davao City",Land,published,2275000,"Durian Street, Narra Park, Tigatto, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,Cash,7.1260786,125.5909833,"{""internal_id"":""cmiu6ohvr001muxa4k6sbpmat"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1-c3Nw4h__ghMBZNLNoHkuhJIngcyWXJi?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/search/?q=narra""},""lot"":{""lot_area_sqm"":130,""terrain"":""F""}}"
durian-street-narra-park-davao-city-4,"Durian Street, Narra Park, Davao City",Land,published,3618000,"Durian Street, Narra Park, Tigatto, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,Cash,7.1258831,125.5912201,"{""internal_id"":""cmiu6pum5001nuxa4q17uodre"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1-c3Nw4h__ghMBZNLNoHkuhJIngcyWXJi?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/search/?q=narra""},""lot"":{""lot_area_sqm"":201,""terrain"":""F""}}"
communal-road-san-miguel-davao-city,"Communal Road, San Miguel, Davao City",Land,published,10000000,"Communal Road, San Miguel, Cabantian, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Residential,buy,5500,7.1325269,125.6246992,"{""internal_id"":""cmiu6vohh001puxa48xvt3hh8"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1Ua4oWCITj7eFxYN6Id3wIIfOZa7w6Nwz?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/18HMofMWuV/""},""lot"":{""lot_area_sqm"":840,""terrain"":""F""}}"
